SPCD,COMMON_NAME,GENUS,SPECIES,SUCCESSIONAL_ID,VARIETY,SUBSPECIES,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,EAST,WEST,WOODLAND,MANUAL_START,MANUAL_END,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,CORE,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,QUEBEC_NAME
744,swamp cottonwood,Populus,heterophylla,0,,,POHE4,37,37,3,36,118,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.69089,0.35,24,0.46,24,87.67,24,106.33,24,0.39,24,18.44,24,0.09658,0.91882,0.08593,
745,plains cottonwood,Populus,deltoides,0,,monilifera,PODEM,37,44,3,36,118,X,,,X,X,X,H,,,,X,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.37756,0.35,24,0.46,24,87.67,24,106.33,24,0.39,24,18.44,24,0.09658,0.91882,0.08593,
746,quaking aspen,Populus,tremuloides,0,,,POTR5,37,44,3,32,119,X,X,X,X,X,X,H,X,X,X,X,,E,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.69089,0.35,1,0.5,5,101.92,18,128.94286,16,0.38,1,14.4,27,0.09658,0.91882,0.08593,PET
747,black cottonwood,Populus,balsamifera,0,,trichocarpa,POBAT,37,44,4,36,137,X,,X,X,,X,H,,,X,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.37756,0.31,1,0.4,5,100.325,7,137.80645,5,0.35,1,16.3,27,0.09658,0.91882,0.08593,
748,Fremont cottonwood,Populus,fremontii,0,,,POFR2,37,44,4,36,118,,,X,X,X,X,H,,,,X,,,W,,1.7,,,2/24/2005,333,,9/29/2009,10497,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.37756,0.41,7,0.41,7,91.53659,22,56.34146,22,0.45,21,22,21,0.09658,0.91882,0.08593,
749,narrowleaf cottonwood,Populus,angustifolia,0,,,POAN3,37,44,3,36,118,X,,,X,X,X,H,,,,X,,,W,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.37756,0.35,24,0.46,24,87.67,24,106.33,24,0.39,24,18.44,24,0.09658,0.91882,0.08593,
752,silver poplar,Populus,alba,0,,,POAL7,37,37,3,36,118,X,X,,,X,,H,,,,,,E,,,1.7,,,2/24/2005,333,,3/19/2008,333,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.69089,0.35,24,0.46,24,87.67,24,106.33,24,0.39,24,18.44,24,0.09658,0.91882,0.08593,
753,Lombardy poplar,Populus,nigra,0,,,PONI,37,44,3,36,146,X,X,X,,X,,H,,,,,,E,,,2,,,2/24/2005,333,,8/10/2009,440,Y,6,-2.2094,2.3867,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.69089,0.35,24,0.46,24,87.67,24,106.33,24,0.39,24,18.44,24,0.09658,0.91882,0.08593,
755,mesquite spp.,Prosopis,spp.,0,,,PROSO,48,48,4,38,157,,,,,X,,H,,,,,,E,W,X,1.7,,,2/24/2005,333,,3/19/2008,333,N,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.78,19,0.65,22,40.53846,22,21.21795,22,0.82,11,15,21,0.12798,0.92267,0.12506,
756,honey mesquite ,Prosopis,glandulosa,0,,,PRGL2,48,48,4,38,157,,,X,X,X,,H,,,,,,E,W,X,1.7,,,2/24/2005,333,,3/19/2008,333,Y,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.78,24,0.65,24,41,24,21,24,0.82,24,15,24,0.12798,0.92267,0.12506,
